rgi_id,glims_id,cenlon,cenlat,glac_name,Name1,Local_script1,Language1,Meaning1,Source1,Contributor
RGI2000-v7.0-G-14-00071,G069313E35410N,69.31255853,35.410369,,,,,,,
RGI2000-v7.0-G-14-00072,G069319E35409N,69.31898589,35.4088485,,,,,,,
RGI2000-v7.0-G-14-00073,G069326E35406N,69.32560327,35.4063335,,,,,,,
RGI2000-v7.0-G-14-00074,G069333E35407N,69.33334094,35.4067735,,,,,,,
RGI2000-v7.0-G-14-00075,G069358E35386N,69.35805897,35.386116,,,,,,,
RGI2000-v7.0-G-14-00076,G069367E35382N,69.36682443,35.3823895,,,,,,,
RGI2000-v7.0-G-14-00077,G069391E35369N,69.39090898,35.369083,,,,,,,
RGI2000-v7.0-G-14-00078,G069401E35368N,69.40050123,35.368232,,,,,,,
RGI2000-v7.0-G-14-00079,G069377E35427N,69.377477,35.4273505,,,,,,,
RGI2000-v7.0-G-14-00080,G069381E35429N,69.38057388,35.428711,,,,,,,
RGI2000-v7.0-G-14-00081,G069392E35434N,69.39157244,35.433039,,,,,,,
RGI2000-v7.0-G-14-00082,G069399E35435N,69.39913845,35.4346915,,,,,,,
RGI2000-v7.0-G-14-00083,G069365E35427N,69.36546472,35.426505,,,,,,,
RGI2000-v7.0-G-14-00084,G069349E35448N,69.34793806,35.448254,,,,,,,
RGI2000-v7.0-G-14-00085,G069440E35447N,69.4395241,35.447002,,,,,,,
RGI2000-v7.0-G-14-00086,G069443E35450N,69.44265459,35.449674,,,,,,,
RGI2000-v7.0-G-14-00087,G069446E35454N,69.44518906,35.453747,,,,,,,
RGI2000-v7.0-G-14-00088,G069441E35459N,69.44000494,35.458649,,,,,,,
RGI2000-v7.0-G-14-00089,G069439E35468N,69.43876469,35.4676975,,,,,,,
RGI2000-v7.0-G-14-00090,G069435E35475N,69.43480685,35.4745235,,,,,,,
RGI2000-v7.0-G-14-00091,G069440E35482N,69.4397521,35.482187,,,,,,,
RGI2000-v7.0-G-14-00092,G069436E35494N,69.4355058,35.4944725,,,,,,,
RGI2000-v7.0-G-14-00093,G069451E35463N,69.45290297,35.463381,,,,,,,
RGI2000-v7.0-G-14-00094,G069456E35454N,69.45350388,35.4524995,,,,,,,
RGI2000-v7.0-G-14-00095,G069482E35468N,69.48241073,35.468469,,,,,,,
RGI2000-v7.0-G-14-00096,G069505E35475N,69.50406497,35.4758555,,,,,,,
RGI2000-v7.0-G-14-00097,G069511E35474N,69.51104123,35.4752445,,,,,,,
RGI2000-v7.0-G-14-00098,G069522E35470N,69.52195318,35.469594,,,,,,,
RGI2000-v7.0-G-14-00099,G069528E35468N,69.52776833,35.4686125,,,,,,,
RGI2000-v7.0-G-14-00100,G069545E35463N,69.54465468,35.4635875,,,,,,,
RGI2000-v7.0-G-14-00101,G069555E35460N,69.55492339,35.461076,,,,,,,
RGI2000-v7.0-G-14-00102,G069562E35460N,69.56157643,35.458648,,,,,,,
RGI2000-v7.0-G-14-00103,G069558E35450N,69.55902684,35.4510785,,,,,,,
RGI2000-v7.0-G-14-00104,G069561E35447N,69.56191532,35.4467175,,,,,,,
RGI2000-v7.0-G-14-00105,G069550E35450N,69.5507731,35.4495295,,,,,,,
RGI2000-v7.0-G-14-00106,G069571E35459N,69.5714874,35.4589785,,,,,,,
RGI2000-v7.0-G-14-00107,G069586E35472N,69.58541554,35.471159,,,,,,,
RGI2000-v7.0-G-14-00108,G069592E35483N,69.59022775,35.482222,,,,,,,
RGI2000-v7.0-G-14-00109,G069578E35490N,69.57700142,35.487725,,,,,,,
RGI2000-v7.0-G-14-00110,G069608E35489N,69.60924446,35.4887495,,,,,,,
RGI2000-v7.0-G-14-00111,G069616E35492N,69.61593354,35.4912395,,,,,,,
RGI2000-v7.0-G-14-00112,G069616E35485N,69.61588809,35.4847875,,,,,,,
RGI2000-v7.0-G-14-00113,G069617E35480N,69.61610143,35.4800295,,,,,,,
RGI2000-v7.0-G-14-00114,G069614E35473N,69.61495657,35.4745035,,,,,,,
RGI2000-v7.0-G-14-00115,G069615E35474N,69.62237921,35.4707425,,,,,,,
RGI2000-v7.0-G-14-00116,G069624E35465N,69.62414137,35.4656505,,,,,,,
RGI2000-v7.0-G-14-00117,G069626E35461N,69.62642616,35.4612835,,,,,,,
RGI2000-v7.0-G-14-00118,G069611E35497N,69.61055548,35.496956,,,,,,,
RGI2000-v7.0-G-14-00119,G069610E35496N,69.61176293,35.498336,,,,,,,
RGI2000-v7.0-G-14-00120,G069619E35502N,69.6190294,35.501903,,,,,,,
RGI2000-v7.0-G-14-00121,G069630E35500N,69.62978717,35.499699,,,,,,,
RGI2000-v7.0-G-14-00122,G069632E35506N,69.632432,35.5060615,,,,,,,
RGI2000-v7.0-G-14-00123,G069638E35506N,69.63816541,35.5059355,,,,,,,
RGI2000-v7.0-G-14-00124,G069636E35510N,69.63630812,35.5095255,,,,,,,
RGI2000-v7.0-G-14-00125,G069649E35506N,69.64571801,35.5042795,,,,,,,
RGI2000-v7.0-G-14-00126,G069654E35504N,69.6535991,35.5041755,,,,,,,
RGI2000-v7.0-G-14-00127,G069661E35503N,69.66120275,35.502832,,,,,,,
RGI2000-v7.0-G-14-00128,G069677E35536N,69.67760255,35.536131,,,,,,,
RGI2000-v7.0-G-14-00129,G069698E35537N,69.69768246,35.5373305,,,,,,,
RGI2000-v7.0-G-14-00130,G069713E35541N,69.71453546,35.538838,,,,,,,
RGI2000-v7.0-G-14-00131,G069694E35550N,69.69408158,35.550933,,,,,,,
RGI2000-v7.0-G-14-00132,G069690E35551N,69.69005666,35.5508565,,,,,,,
RGI2000-v7.0-G-14-00133,G069699E35560N,69.69884053,35.5600825,,,,,,,
RGI2000-v7.0-G-14-00134,G069758E35562N,69.75796249,35.557159,,,,,,,
