rgi_id,glims_id,cenlon,cenlat,glac_name,Name1,Local_Script1,Language1,Meaning1,Source1,Contributor
RGI2000-v7.0-G-15-00059,G078550E31191N,78.55058858503656,31.191481000000003,,,,,,,
RGI2000-v7.0-G-15-00060,G078577E31191N,78.55329248793817,31.1746105,,,,,,,
RGI2000-v7.0-G-15-00061,G078554E31165N,78.55325389517236,31.1670155,,,,,,,
RGI2000-v7.0-G-15-00062,G078551E31145N,78.55250504042402,31.144957499999997,,,,,,,
RGI2000-v7.0-G-15-00063,G078546E31143N,78.546031,31.143033000000003,,,,,,,
RGI2000-v7.0-G-15-00064,G078538E31139N,78.53762428955898,31.139011,,,,,,,
RGI2000-v7.0-G-15-00065,G078537E31143N,78.53598127,31.144661,,,,,,,
RGI2000-v7.0-G-15-00066,G078529E31138N,78.52915406128575,31.137849000000003,,,,,,,
RGI2000-v7.0-G-15-00067,G078523E31112N,78.52125750520867,31.1160225,,,,,,,
RGI2000-v7.0-G-15-00068,G078547E31116N,78.54679194005826,31.116966,,,,,,,
RGI2000-v7.0-G-15-00069,G078556E31123N,78.55487204436241,31.123949,,,,,,,
RGI2000-v7.0-G-15-00070,G078568E31125N,78.56937092244475,31.123501,,,,,,,
RGI2000-v7.0-G-15-00071,G078576E31127N,78.57645292681195,31.1269125,,,,,,,
RGI2000-v7.0-G-15-00072,G078576E31136N,78.57694732794415,31.136253,,,,,,,
RGI2000-v7.0-G-15-00073,G078591E31162N,78.57863327584134,31.1563895,,,,,,,
RGI2000-v7.0-G-15-00074,G078605E31143N,78.60475209968786,31.142894499999997,,,,,,,
RGI2000-v7.0-G-15-00075,G078607E31138N,78.60874372,31.1390765,,,,,,,
RGI2000-v7.0-G-15-00076,G078592E31163N,78.60122009392785,31.1284085,,,,,,,
RGI2000-v7.0-G-15-00077,G078605E31125N,78.60465146511628,31.1249,,,,,,,
RGI2000-v7.0-G-15-00078,G078603E31122N,78.60308677493917,31.122484,,,,,,,
RGI2000-v7.0-G-15-00079,G078618E31126N,78.61808621932516,31.1253155,,,,,,,
RGI2000-v7.0-G-15-00080,G078631E31125N,78.63051314503718,31.126877999999998,,,,,,,
RGI2000-v7.0-G-15-00081,G078629E31133N,78.62879066814146,31.132937,,,,,,,
RGI2000-v7.0-G-15-00082,G078638E31135N,78.63972773076922,31.136039500000003,,,,,,,
RGI2000-v7.0-G-15-00083,G078647E31134N,78.64716441224019,31.1340975,,,,,,,
RGI2000-v7.0-G-15-00084,G078654E31135N,78.65320966881202,31.134816,,,,,,,
RGI2000-v7.0-G-15-00085,G078654E31126N,78.65404753882636,31.1261235,,,,,,,
RGI2000-v7.0-G-15-00086,G078646E31126N,78.65048265798319,31.123852,,,,,,,
RGI2000-v7.0-G-15-00087,G078640E31123N,78.64034740031774,31.121426,,,,,,,
RGI2000-v7.0-G-15-00088,G078664E31123N,78.66666736361177,31.122803,,,,,,,
RGI2000-v7.0-G-15-00089,G078666E31130N,78.6658925,31.1303,,,,,,,
RGI2000-v7.0-G-15-00090,G078687E31110N,78.68720951495484,31.1097915,,,,,,,
RGI2000-v7.0-G-15-00091,G078694E31104N,78.69317275,31.106112,,,,,,,
RGI2000-v7.0-G-15-00092,G078701E31100N,78.70123990129487,31.099792,,,,,,,
RGI2000-v7.0-G-15-00093,G078768E31107N,78.76756053801546,31.1069755,,,,,,,
RGI2000-v7.0-G-15-00094,G078771E31110N,78.77143283294393,31.110308,,,,,,,
RGI2000-v7.0-G-15-00095,G078775E31107N,78.77671988,31.107451,,,,,,,
RGI2000-v7.0-G-15-00096,G078786E31110N,78.78712927216345,31.1107735,,,,,,,
RGI2000-v7.0-G-15-00097,G078785E31117N,78.78546567867691,31.117955,,,,,,,
RGI2000-v7.0-G-15-00098,G078772E31118N,78.77261575637343,31.116307,,,,,,,
RGI2000-v7.0-G-15-00099,G078770E31126N,78.76983719376278,31.126676,,,,,,,
RGI2000-v7.0-G-15-00100,G078771E31137N,78.76818877729258,31.13657,,,,,,,
RGI2000-v7.0-G-15-00101,G078769E31144N,78.76867239734688,31.144628,,,,,,,
RGI2000-v7.0-G-15-00102,G078765E31148N,78.76209002083333,31.147222,,,,,,,
RGI2000-v7.0-G-15-00103,G078758E31142N,78.75659909420173,31.142682,,,,,,,
RGI2000-v7.0-G-15-00104,G078765E31159N,78.76547429717473,31.157894,,,,,,,
RGI2000-v7.0-G-15-00105,G078762E31169N,78.76054279280173,31.1686525,,,,,,,
RGI2000-v7.0-G-15-00106,G078760E31175N,78.75949250391498,31.174055000000003,,,,,,,
RGI2000-v7.0-G-15-00107,G078753E31182N,78.75316339147287,31.180896,,,,,,,
RGI2000-v7.0-G-15-00108,G078740E31183N,78.73971537828639,31.181355500000002,,,,,,,
RGI2000-v7.0-G-15-00109,G078733E31179N,78.73359352525773,31.179034,,,,,,,
RGI2000-v7.0-G-15-00110,G078729E31181N,78.72820987243789,31.1801975,,,,,,,
RGI2000-v7.0-G-15-00111,G078720E31177N,78.71991297276264,31.1768445,,,,,,,
RGI2000-v7.0-G-15-00112,G078713E31181N,78.71474627722772,31.181209,,,,,,,
RGI2000-v7.0-G-15-00113,G078714E31172N,78.71312303450705,31.172077,,,,,,,
RGI2000-v7.0-G-15-00114,G078701E31188N,78.69704935182767,31.183746,,,,,,,
RGI2000-v7.0-G-15-00115,G078664E31180N,78.66314574722352,31.178668000000002,,,,,,,
RGI2000-v7.0-G-15-00116,G078663E31173N,78.66313099903101,31.172851,,,,,,,
RGI2000-v7.0-G-15-00117,G078655E31173N,78.65589707643701,31.174025,,,,,,,
RGI2000-v7.0-G-15-00118,G078655E31181N,78.65579201797533,31.1807435,,,,,,,
RGI2000-v7.0-G-15-00119,G078658E31184N,78.65789143456544,31.183874,,,,,,,
RGI2000-v7.0-G-15-00120,G078650E31184N,78.64875168603871,31.183498,,,,,,,
RGI2000-v7.0-G-15-00121,G078649E31193N,78.64844740341013,31.192988,,,,,,,
RGI2000-v7.0-G-15-00122,G078632E31203N,78.63206178,31.2004295,,,,,,,
RGI2000-v7.0-G-15-00123,G078618E31198N,78.61744303164556,31.198140000000002,,,,,,,
RGI2000-v7.0-G-15-00124,G078615E31186N,78.61466068756968,31.1865325,,,,,,,
RGI2000-v7.0-G-15-00125,G078618E31176N,78.61788904150944,31.1761025,,,,,,,
RGI2000-v7.0-G-15-00126,G078608E31170N,78.60834403894233,31.170061500000003,,,,,,,
RGI2000-v7.0-G-15-00127,G078617E31162N,78.61655509551633,31.1621595,,,,,,,
RGI2000-v7.0-G-15-00128,G078622E31152N,78.61986803620405,31.1528365,,,,,,,
RGI2000-v7.0-G-15-00129,G078627E31145N,78.62670634340935,31.14467,,,,,,,
RGI2000-v7.0-G-15-00130,G078623E31143N,78.63478237,31.1438825,,,,,,,
RGI2000-v7.0-G-15-00131,G078660E31166N,78.65953730378018,31.1655695,,,,,,,
RGI2000-v7.0-G-15-00132,G078751E31167N,78.75195706967213,31.166657,,,,,,,
RGI2000-v7.0-G-15-00133,G078773E31171N,78.77349272110123,31.171008999999998,,,,,,,
RGI2000-v7.0-G-15-00134,G078783E31169N,78.78364443,31.1685625,,,,,,,
RGI2000-v7.0-G-15-00135,G078781E31179N,78.78380310248741,31.1798705,,,,,,,
RGI2000-v7.0-G-15-00136,G078803E31186N,78.80229115,31.184894999999997,,,,,,,
RGI2000-v7.0-G-15-00137,G078829E31173N,78.81036643,31.1818295,,,,,,,
RGI2000-v7.0-G-15-00138,G078830E31174N,78.81611173116673,31.176809,,,,,,,
RGI2000-v7.0-G-15-00139,G078807E31167N,78.80704101997338,31.1668915,,,,,,,
